"id","name","created_at","updated_at","parent_id","content"
"1","Planning","2012-05-01 03:29:30.425887","2012-05-01 03:29:30.425887","","The team should make an outline of the work-division over the duration of the project "
"2","Initial user studies","2012-05-01 03:29:30.703903","2012-05-01 03:29:30.703903","","Identifying requirements from the digital libraries' audience "
"3","Policy-making","2012-05-01 03:29:30.813909","2012-05-01 03:29:30.813909","","Rules and standards to be followed for the project"
"4","Collection development","2012-05-01 03:29:30.924916","2012-05-01 03:29:30.924916","","Process of gathering contents of the digital library"
"5","Architecture design and implementation","2012-05-01 03:29:31.024921","2012-05-01 03:29:31.024921","","Constructing a framework to support the streamlined development and implementation"
"6","User interface design and implementation","2012-05-01 03:29:31.124927","2012-05-01 03:29:31.124927","","Design and code the interface between the library and the user"
"7","Metadata","2012-05-01 03:29:31.369941","2012-05-01 03:29:31.369941","","Gather and maintain metadata information about the collection"
"8","Information organization","2012-05-01 03:29:31.602955","2012-05-01 03:29:31.602955","","Classification and indexing schemes "
"9","Service implementation","2012-05-01 03:29:31.710961","2012-05-01 03:29:31.710961","","Include access-based services for increased benefit "
"10","Preservation","2012-05-01 03:29:31.821967","2012-05-01 03:29:31.821967","","Follow-up process of maintaining collection up-to-date"
"11","Establish timelines","2012-05-01 03:29:31.932973","2012-05-01 03:29:31.932973","1",""
"12","Divide tasks ","2012-05-01 03:29:32.054980","2012-05-01 03:29:32.054980","1",""
"13","Questionnairs","2012-05-01 03:29:32.179988","2012-05-01 03:29:32.179988","2",""
"14","Surveys","2012-05-01 03:29:32.276993","2012-05-01 03:29:32.276993","2",""
"15","Interviews","2012-05-01 03:29:32.376999","2012-05-01 03:29:32.376999","2",""
"16","Workshops","2012-05-01 03:29:32.466004","2012-05-01 03:29:32.466004","2",""
"17","Collection Development","2012-05-01 03:29:32.588011","2012-05-01 03:29:32.588011","3",""
"18","Metadata standards","2012-05-01 03:29:32.725019","2012-05-01 03:29:32.725019","3",""
"19","Character encoding formats","2012-05-01 03:29:32.844025","2012-05-01 03:29:32.844025","3",""
"20","Identifiers","2012-05-01 03:29:32.977033","2012-05-01 03:29:32.977033","3",""
"21","Crawling","2012-05-01 03:29:33.110041","2012-05-01 03:29:33.110041","4",""
"22","Digitization","2012-05-01 03:29:33.255049","2012-05-01 03:29:33.255049","4",""
"23","Special collections","2012-05-01 03:29:33.388057","2012-05-01 03:29:33.388057","4",""
"24","Born-digital","2012-05-01 03:29:33.588068","2012-05-01 03:29:33.588068","4",""
"25","Off-the-shelf components","2012-05-01 03:29:33.722076","2012-05-01 03:29:33.722076","5",""
"26","End-to-end development","2012-05-01 03:29:33.866084","2012-05-01 03:29:33.866084","5",""
"27","Activities design","2012-05-01 03:29:33.988091","2012-05-01 03:29:33.988091","6",""
"28","Prototype development","2012-05-01 03:29:34.113098","2012-05-01 03:29:34.113098","6",""
"29","Working version","2012-05-01 03:29:34.233105","2012-05-01 03:29:34.233105","6",""
"30","Extract metadata","2012-05-01 03:29:34.381113","2012-05-01 03:29:34.381113","7",""
"31","Explicitly specify metadata","2012-05-01 03:29:34.510121","2012-05-01 03:29:34.510121","7",""
"32","Classification","2012-05-01 03:29:34.634128","2012-05-01 03:29:34.634128","8",""
"33","Indexing","2012-05-01 03:29:34.744134","2012-05-01 03:29:34.744134","8",""
"34","Browsing","2012-05-01 03:29:34.866141","2012-05-01 03:29:34.866141","9",""
"35","Searching","2012-05-01 03:29:34.999149","2012-05-01 03:29:34.999149","9",""
"36","RESTful manipulation","2012-05-01 03:29:35.111155","2012-05-01 03:29:35.111155","9",""
