"id","name","content","created_at","updated_at","project_id","parent_id","lft","rgt","start","end","site"
"1","Architecture design","","2012-05-01 03:34:13.259064","2012-05-17 02:11:22.437806","1","","1","2","2012-05-16 00:00:00.000000","2015-05-15 00:00:00.000000","PS"
"2","Arabic CLIR design","","2012-05-01 03:34:13.513079","2012-05-01 03:34:13.513079","1","","3","4","2012-09-14 00:00:00.000000","2013-08-15 00:00:00.000000","VT"
"3","Arabic CLIR implementation","","2012-05-01 03:34:13.635086","2012-05-01 03:34:13.635086","1","","5","6","2013-08-12 00:00:00.000000","2014-12-31 00:00:00.000000","VT"
"4"," Collection Dev (crawling)","","2012-05-01 03:34:13.747092","2012-05-01 03:34:13.747092","1","","7","8","2012-05-16 00:00:00.000000","2014-03-18 00:00:00.000000","PS"
"5","  Collection Dev (supplemental)","","2012-05-01 03:34:13.869099","2012-05-01 03:34:13.869099","1","","9","10","2012-05-16 00:00:00.000000","2014-03-18 00:00:00.000000","PS"
"6","  Equipment and facilities","","2012-05-01 03:34:13.980106","2012-05-01 03:34:13.980106","1","","11","12","2012-05-16 00:00:00.000000","2014-03-18 00:00:00.000000","QU"
"7","   Planning and scheduling","","2012-05-01 03:34:14.102113","2012-05-01 03:34:14.102113","1","","13","14","2012-05-16 00:00:00.000000","2012-07-10 00:00:00.000000","All"
"8","Reqs gathering","","2012-05-01 03:34:14.224120","2012-05-01 03:34:14.224120","1","","15","16","2012-05-16 00:00:00.000000","2012-09-04 00:00:00.000000","TAMU"
"9","UI design","","2012-05-01 03:34:14.337126","2012-05-01 03:34:14.337126","1","","17","18","2013-01-05 00:00:00.000000","2013-02-19 00:00:00.000000","TAMU"
"10","UI Implementation","","2012-05-01 03:34:14.445132","2012-05-01 03:34:14.445132","1","","19","20","2013-02-20 00:00:00.000000","2013-07-09 00:00:00.000000","TAMU"
"11","Curriculum  enhancement","","2012-05-01 03:34:14.569139","2012-05-01 03:34:14.569139","1","","21","22","2012-05-16 00:00:00.000000","2012-09-04 00:00:00.000000","VT"
"12","Feedback gathering","","2012-05-01 03:34:14.680146","2012-05-01 03:34:14.680146","1","","23","24","2015-01-23 00:00:00.000000","2015-05-14 00:00:00.000000","TAMU"
"13","Support DL community","","2012-05-01 03:34:14.805153","2012-05-01 03:34:14.805153","1","","25","26","2012-09-01 00:00:00.000000","2015-05-15 00:00:00.000000","QU"
"14","Disseminate results","","2012-05-01 03:34:14.946161","2012-05-01 03:34:14.946161","1","","27","28","2013-01-01 00:00:00.000000","2015-05-15 00:00:00.000000","All"
